Numbers,Total,Male,Female
Total,281424600,138056128,143368472
0,3805718,1949050,1856668
1,3820647,1953136,1867511
2,3790534,1939037,1851497
3,3832855,1958991,1873864
4,3926400,2010693,1915707
5,3965175,2031106,1934069
6,4019782,2058266,1961516
7,4118211,2109896,2008315
8,4179294,2137874,2041420
9,4267393,2186337,2081056
10,4274122,2191282,2082840
11,4115158,2108201,2006957
12,4075909,2087265,1988644
13,4010930,2054044,1956886
14,4052306,2079600,1972706
15,4019472,2065161,1954311
16,3975074,2048609,1926465
17,4046050,2091303,1954747
18,4051223,2078781,1972442
19,4126963,2106912,2020051
20,4048773,2071000,1977773
21,3840692,1965514,1875178
22,3758536,1921519,1837017
23,3673654,1875451,1798203
24,3641309,1854022,1787287
25,3744610,1905951,1838659
26,3619735,1832438,1787297
27,3789888,1915016,1874872
28,3984930,2010895,1974035
29,4242629,2134797,2107832
30,4290102,2174327,2115775
31,4011714,2019895,1991819
32,3994252,2008972,1985280
33,4026708,2018121,2008587
34,4188291,2100951,2087340
35,4516246,2265721,2250525
36,4511332,2247652,2263680
37,4517194,2250205,2266989
38,4553953,2268184,2285769
39,4608665,2287448,2321217
40,4711575,2352716,2358859
41,4466786,2213118,2253668
42,4547350,2256634,2290716
43,4407975,2178519,2229456
44,4308756,2128527,2180229
45,4341527,2151159,2190368
46,4087654,2009636,2078018
47,4019752,1976170,2043582
48,3885186,1909699,1975487
49,3758592,1843047,1915545
50,3808594,1871696,1936898
51,3617046,1769506,1847540
52,3707484,1815815,1891669
53,3635093,1778453,1856640
54,2817607,1372444,1445163
55,2850637,1386882,1463755
56,2837499,1375216,1462283
57,2864071,1384228,1479843
58,2540176,1222721,1317455
59,2377042,1139788,1237254
60,2319979,1111580,1208399
61,2221254,1061697,1159557
62,2171092,1033877,1137215
63,2053173,971217,1081956
64,2040077,958337,1081740
65,2029935,950668,1079267
66,1860335,864161,996174
67,1896472,874088,1022384
68,1864540,856162,1008378
69,1882369,855350,1027019
70,1875190,844527,1030663
71,1788282,798522,989760
72,1791714,791181,1000533
73,1725193,751444,973749
74,1677154,717295,959859
75,1651677,695884,955793
76,1556581,647774,908807
77,1460793,599749,861044
78,1431934,579374,852560
79,1314925,521712,793213
80,1207377,467018,740359
81,1072050,406546,665504
82,981578,364821,616757
83,883075,317288,565787
84,801346,279243,522103
85+,4239674,1227016,3012658