Numbers,Total,Male,Female
Total,316128839,155651602,160477237
0,3941783,2016727,1925056
1,3955942,2022013,1933929
2,3989135,2040455,1948680
3,3989538,2036418,1953120
4,3991690,2036805,1954885
5,4121797,2104237,2017560
6,4142191,2116881,2025310
7,4108053,2100120,2007933
8,4095205,2092455,2002750
9,4103335,2095281,2008054
10,4073258,2078973,1994285
11,4055918,2070314,1985604
12,4155875,2122985,2032890
13,4217964,2158489,2059475
14,4147439,2121762,2025677
15,4147445,2121923,2025522
16,4158116,2125923,2032193
17,4191188,2148248,2042940
18,4285609,2200703,2084906
19,4376606,2249393,2127213
20,4445721,2289607,2156114
21,4568663,2347878,2220785
22,4655731,2381555,2274176
23,4652806,2376407,2276399
24,4472517,2283518,2188999
25,4372201,2229093,2143108
26,4300520,2190519,2110001
27,4322247,2198276,2123971
28,4360245,2209844,2150401
29,4224985,2132147,2092838
30,4294831,2162416,2132415
31,4297330,2158627,2138703
32,4254331,2133366,2120965
33,4342738,2185818,2156920
34,4075159,2041385,2033774
35,3996723,1999717,1997006
36,3957642,1974439,1983203
37,3842679,1917837,1924842
38,3964301,1981305,1982996
39,3842425,1911971,1930454
40,3904767,1936508,1968259
41,4084927,2028536,2056391
42,4323573,2145858,2177715
43,4380926,2182953,2197973
44,4154727,2066137,2088590
45,4070408,2021957,2048451
46,4076903,2018553,2058350
47,4156273,2059088,2097185
48,4409800,2182629,2227171
49,4494922,2215891,2279031
50,4494482,2211106,2283376
51,4489236,2205825,2283411
52,4547907,2229385,2318522
53,4589261,2253981,2335280
54,4438340,2170669,2267671
55,4415162,2154967,2260195
56,4369543,2125826,2243717
57,4215577,2044395,2171182
58,4181408,2024760,2156648
59,4012740,1932434,2080306
60,3862796,1856051,2006745
61,3715993,1783516,1932477
62,3603520,1722456,1881064
63,3519231,1681878,1837353
64,3420461,1630472,1789989
65,3391067,1616005,1775062
66,3534440,1683234,1851206
67,2604610,1231339,1373271
68,2569911,1208652,1361259
69,2508689,1173960,1334729
70,2569502,1198287,1371215
71,2238499,1036368,1202131
72,2044846,937562,1107284
73,1934570,882726,1051844
74,1820632,829509,991123
75,1743415,785563,957852
76,1607329,717131,890198
77,1534778,677689,857089
78,1471162,640522,830640
79,1321197,569442,751755
80,1277377,542197,735180
81,1219160,509698,709462
82,1160321,476629,683692
83,1111120,447106,664014
84,1000660,394540,606120
85,934503,358461,576042
86,850340,318005,532335
87,753974,273144,480830
88,677766,236912,440854
89,587609,199177,388432
90,496558,163971,332587
91,419645,133007,286638
92,344621,105835,238786
93,268598,78169,190429
94,196402,54745,141657
95,155062,40921,114141
96,110012,27511,82501
97,80822,18755,62067
98,57740,12690,45050
99,39790,8162,31628
100+,67347,12317,55030